name,"algo_nl(:MINPACK, :hybr)","algo_nl(:NLsolve, :newton)","algo_nl(:NLsolve, :trust_region)","algo_nl(:NonlinearSolve, NewtonRaphson)"
simple exponential - energy min,1.0,1.0,1.0,1.0
simple exponential - conso min,1.0,1.0,1.0,1.0
simple exponential - time min,1.0,1.0,1.0,1.0
simple integrator - energy min - free tf,1.0,1.0,0.9666666666666667,1.0
simple nonsmooth turnpike - state energy min - affine system in u,1.0,1.0,1.0,1.0
Double integrator energy - minimise ∫ u²,1.0,1.0,1.0,1.0
Double integrator energy - mininimise ∫ u² under the constraint norm(u) ≤ γ,1.0,0.9,1.0,0.9
Double integrator energy/distance - minimise -x₁ + ∫ u²,1.0,1.0,1.0,1.0
Double integrator energy - mininimise ∫ u² under the constraint x₁ ≤ l,0.7666666666666667,1.0,0.9,1.0
lqr - dimension 2 - ricatti,1.0,1.0,1.0,1.0
Double integrator consumption - mininimise ∫ norm(u) under the constraint norm(u) ≤ γ,1.0,1.0,1.0,1.0
mean,0.9787878787878789,0.990909090909091,0.9878787878787879,0.990909090909091
